S.NO,PROP_ID,SIZE_OF_PROPERTY,NO_OF_BEDROOMS,LOCALITY,PROPERTY_TYPE,TOTAL_FLOOR,AGE_OF_BUILDING,PRICE_IN_LAKHS,CONSTRUCTION_STATUS,LATITUDE,LOGITUDE
1,X69306824,7405,4,Lak And Hanware The Residency Tower,Farm House,1,26,48.5,Ready to move,19.0525298,73.0735111
2,R70915032,1089,3,Radheya Sai Enclave Building No 2,Residential Land,7,14,45,Under Construction,19.0525298,73.0735111
3,G70916930,390,3,Romell Serene,Residential Apartment,7,32,67,Under Construction,19.0525298,73.0735111
4,H70484400,1250,2,Soundlines Codename Urban Rainforest,Residential Apartment,17,8,45,Under Construction,19.0525298,73.0735111
5,A70484128,1250,4,Origin Oriana,Residential Apartment,30,45,50,Under Construction,19.0525298,73.0735111
6,C70484644,1125,3,Bhoomi Simana Wing A Phase 1,Residential Apartment,6,3,170,Under Construction,19.0525298,73.0735111
7,D70816344,850,3,Agami Estancia,Residential Apartment,3,20,125,Under Construction,19.0257731,73.05918478
8,R70486606,3000,1,Sanghvi Infenia,Independent House/Villa,3,38,105,Under Construction,19.0525298,73.0735111
9,D70485228,1600,2,Shubh Shreeji Heights,Residential Apartment,22,11,105,Ready to move,19.0525298,73.0735111
10,K70629508,1000,3,Aplite Greenstone Heritage,Residential Apartment,6,29,150,Under Construction,19.0525298,73.0735111
11,I70038378,600,3,A Plus Golden Corner,Residential Apartment,4,6,87,Under Construction,19.0525298,73.0735111
12,E69809784,1070,2,Unimont Imperia,Residential Apartment,22,17,90,Under Construction,19.0525298,73.0735111
13,G70699774,500,3,Aayush Gulmohar,Residential Apartment,4,42,110,Under Construction,19.0525298,73.0735111
14,C70363976,325,2,Roswalt Zaiden,Studio Apartment,5,5,105,Under Construction,19.0525298,73.0735111
15,N70806490,792,3,Angel Falcon Emerald Dunlin,Residential Apartment,15,23,97,Under Construction,19.0525298,73.0735111
16,L70835204,850,2,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Independent House/Villa,2,49,105,Under Construction,19.04310935,73.07430033
17,P70247048,1000,4,Godrej Urban Park,Independent/Builder Floor,4,2,80,Under Construction,19.0525298,73.0735111
18,A70699844,1040,3,Aurum Q Island R4 AND R5,Residential Apartment,32,36,85,Ready to move,19.0525298,73.0735111
19,H68802070,1100,3,Raymond Raymond Realty TenX Habitat,Residential Apartment,15,10,93,Under Construction,19.0525298,73.0735111
20,G70916930,390,2,Asshna Seabliss,Residential Apartment,7,28,99,Under Construction,19.0525298,73.0735111
21,H70484400,1250,4,Mayfair The View,Residential Apartment,17,16,80,Under Construction,19.0525298,73.0735111
22,A70484128,1250,3,Shakti Shree Siddhivinayak II,Residential Apartment,30,31,90,Under Construction,19.0525298,73.0735111
23,C70484644,1125,3,Vardhan Heights,Residential Apartment,6,7,42,Under Construction,19.0525298,73.0735111
24,D70816344,850,1,Puraniks Unicorn Phase 1,Residential Apartment,3,41,280,Under Construction,19.0525298,73.0735111
25,D70485228,1600,2,Pyramid Elements,Residential Apartment,22,19,400,Under Construction,19.0525298,73.0735111
26,K70629508,1000,3,Tharwani Meghna Montana,Residential Apartment,6,35,160,Under Construction,19.0525298,73.0735111
27,I70038378,600,3,Dev Drashti Empire Phase 1,Residential Apartment,4,12,170,Ready to move,19.0525298,73.0735111
28,E69809784,1070,2,B G Shirke Monte Verita West Tower,Residential Apartment,22,27,95,Under Construction,19.0525298,73.0735111
29,B70483706,1200,3,Jindal Avenue,Residential Apartment,8,4,95,Under Construction,19.0525298,73.0735111
30,S56196230,250,2,Walekar Homes,Residential Apartment,3,47,75,Ready to move,19.0525298,73.0735111
31,U70094458,955,3,Sri Garden Avenue K,Residential Apartment,40,9,85,Under Construction,19.0525298,73.0735111
32,T70628438,680,2,Anant Residency,Independent/Builder Floor,5,25,130,Under Construction,19.0525298,73.0735111
33,P70555718,1045,3,Ravechi Shreeji Divine,Residential Apartment,30,50,137,Under Construction,19.0525298,73.0735111
34,H68899438,560,2,Shree ND Garden,Residential Apartment,7,15,80,Under Construction,19.0525298,73.0735111
35,P70762284,1200,4,Neelkanth Auris,Serviced Apartments,20,33,105,Under Construction,19.0525298,73.0735111
36,K70719948,1000,3,Shree Krupa Nandanvan Homes Building B,Residential Apartment,7,21,77,Under Construction,19.0525298,73.0735111
37,V70483902,1350,3,Tajjodin Taj Regency,Residential Apartment,27,37,75,Under Construction,19.0525298,73.0735111
38,N63929726,1500,2,Avant Heritage III,Residential Apartment,11,22,90,Under Construction,19.0525298,73.0735111
39,G70699774,500,4,Kalpataru Kalpataru Elitus,Residential Apartment,4,48,93,Under Construction,19.0525298,73.0735111
40,C70363976,325,3,VBHC 47 Rowland Park,Studio Apartment,5,13,60,Under Construction,19.0525298,73.0735111
41,N70806490,792,3,Sunteck City First Impression,Residential Apartment,15,34,62,Under Construction,19.0525298,73.0735111
42,P70247048,1000,1,Siddhivinayak Siddhivinayak Gaurav,Independent/Builder Floor,4,18,50,Under Construction,19.0525298,73.0735111
43,H70040892,900,2,A M Balaji Heights,Residential Apartment,30,44,65,Under Construction,19.0525298,73.0735111
44,M69723682,980,3,Sai Shrushti Vatika,Residential Apartment,7,1,52,Under Construction,19.0525298,73.0735111
45,G67326910,450,3,Piramal S Class Homes,Residential Apartment,5,39,42,Under Construction,19.0525298,73.0735111
46,Y69920480,1000,2,Rishabraj Vicinia,Residential Apartment,4,24,55,Under Construction,19.0525298,73.0735111
47,V69940344,1000,3,Qualitas QN Greens Phase 1,Residential Apartment,5,46,55,Ready to move,19.0525298,73.0735111
48,F69552404,690,2,Precious Group Precious Meadows,Residential Apartment,24,30,60,Under Construction,19.0525298,73.0735111
49,I70717482,600,3,Today Imperia,Residential Apartment,4,40,55,Ready to move,19.0525298,73.0735111
50,I70173262,1100,2,Lak And Hanware The Residency Tower,Residential Apartment,22,43,42,Ready to move,19.0525298,73.0735111
51,S70714728,350,3,Radheya Sai Enclave Building No 2,Residential Apartment,5,26,165,Under Construction,19.0525298,73.0735111
52,I70468870,350,2,Romell Serene,Residential Apartment,6,14,113.99999,Under Construction,19.0525298,73.0735111
53,U70530756,300,2,Soundlines Codename Urban Rainforest,Residential Apartment,2,32,135,Under Construction,19.0525298,73.0735111
54,O69908850,250,3,Origin Oriana,Residential Apartment,12,8,225,Under Construction,19.0525298,73.0735111
55,S70500510,350,4,Bhoomi Simana Wing A Phase 1,Studio Apartment,4,45,400,Under Construction,19.0525298,73.0735111
56,L69815530,250,3,Agami Estancia,Residential Apartment,8,3,57,Under Construction,19.0525298,73.0735111
57,G70041454,900,2,Sanghvi Infenia,Residential Apartment,7,20,48,Under Construction,19.0525298,73.0735111
58,P70371054,315,3,Shubh Shreeji Heights,Studio Apartment,4,38,45,Ready to move,19.0525298,73.0735111
59,Q68916824,100,2,Aplite Greenstone Heritage,Residential Apartment,3,11,43,Under Construction,19.0525298,73.0735111
60,S69952556,1350,2,A Plus Golden Corner,Residential Apartment,6,29,45,Under Construction,19.0525298,73.0735111
61,C64810382,800,2,Unimont Imperia,Residential Apartment,11,6,53,Under Construction,19.0525298,73.0735111
62,X70385464,850,3,Aayush Gulmohar,Residential Apartment,9,17,48.03,Under Construction,19.0525298,73.0735111
63,U66274524,1127,2,Roswalt Zaiden,Residential Apartment,60,42,130,Under Construction,19.0525298,73.0735111
64,Z69882176,300,2,Angel Falcon Emerald Dunlin,Residential Apartment,6,5,155,Under Construction,19.0525298,73.0735111
65,S69894578,1000,2,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Residential Apartment,6,23,130,Under Construction,19.0525298,73.0735111
66,W69723620,760,2,Godrej Urban Park,Residential Apartment,30,49,85,Under Construction,19.0525298,73.0735111
67,U70674714,545,2,Aurum Q Island R4 AND R5,Residential Apartment,7,2,94,Ready to move,19.0525298,73.0735111
68,N69601482,350,2,Raymond Raymond Realty TenX Habitat,Residential Apartment,8,36,80,Under Construction,19.0525298,73.0735111
69,D70949904,630,2,Asshna Seabliss,Residential Apartment,4,10,45,Under Construction,19.0525298,73.0735111
70,U70887326,450,3,Mayfair The View,Residential Apartment,10,28,53,Under Construction,19.0525298,73.0735111
71,B70782362,800,2,Shakti Shree Siddhivinayak II,Residential Apartment,30,16,60,Under Construction,19.0525298,73.0735111
